title,title_link,author,publisher,publication_date,#pages,reading_age,average_rating,sales_rank
The Red Necklace,https://www.amazon.com/Red-Necklace-Sally-Gardner/dp/0803731000/ref=sr_1_1?keywords=The+Red+Necklace+by+Sally+Gardner&qid=1696975636&sr=8-1,Sally Gardner,Speak; Reprint edition,"September 17, 2009",378.0,12,3.9,91909
The Accident Season,https://www.amazon.com/Accident-Season-Mo%C3%AFra-Fowley-Doyle/dp/014751732X/ref=sr_1_1?keywords=The+Accident+Season+by+Moira+Fowley-Doyle&qid=1696974768&sr=8-1,Moïra Fowley-Doyle,Speak; Reprint edition,"August 2, 2016",320.0,14,3.8,67556
The Revenge Of Geography: What The Map Tells Us About Coming Conflicts And The Battle Against Fate,https://www.amazon.com/Revenge-Geography-Coming-Conflicts-Against/dp/0812982223/ref=sr_1_1?keywords=The+Revenge+of+Geography+by+Robert+D.+Kaplan&qid=1696977247&sr=8-1,Robert D. Kaplan,Random House Trade Paperbacks; Reprint edition,"September 10, 2013",448.0,,3.1,11871
Radio Free Dixie: Robert F. Williams And The Roots Of Black Power,https://www.amazon.com/Radio-Free-Dixie-Robert-Williams/dp/0807849235/ref=sr_1_2?keywords=Radio+Free+Dixie+by+Timothy+B.+Tyson&qid=1697057417&sr=8-2,Timothy B. Tyson,Univ of North Carolina Pr; 36297th edition,"February 5, 2001",416.0,,4.6,56238
The Little Friend,https://www.amazon.com/Little-Friend-Donna-Tartt/dp/1400031699/ref=sr_1_1?keywords=The+Little+Friend&qid=1678907475&sr=8-1,Donna Tartt,Vintage; Reprint edition,"October 28, 2003",640.0,,3.2,80028
The Collected Stories Of Amy Hempel,https://www.amazon.com/Collected-Stories-Amy-Hempel/dp/0743291638/ref=sr_1_2?crid=8QS20P254L9M&keywords=In+the+Cemetery+Where+Al+Jolson+Is+Buried+Amy+Hempel&qid=1666817836&qu=eyJxc2MiOiIwLjc2IiwicXNhIjoiMC4wMCIsInFzcCI6IjAuMDAifQ%3D%3D&sprefix=in+the+cemetery+where+al+jolson+is+buried+am%2Caps%2C690&sr=8-2,Amy Hempel,Scribner; Reprint edition,"September 18, 2007",407.0,,1.8,41989
"Little Town On The Prairie (Little House) (Little House, 7)",https://www.amazon.com/Little-Town-Prairie-House/dp/0064400077/ref=sr_1_1?keywords=Little+Town+on+the+Prairie+by+Laura+Ingalls+Wilder&qid=1697032121&sr=8-1,Laura Ingalls Wilder,HarperCollins,"April 8, 2008",320.0,7,4.5,53909
The Forgotten Man,https://www.amazon.com/Forgotten-Man-Robert-Crais/dp/1409135616/ref=sr_1_1?keywords=The+Forgotten+Man+by+Robert+Crais&qid=1697471624&sr=8-1,Robert Crais,Orion,"January 1, 2011",416.0,,3.2,55626
The Path: A New Way To Think About Everything,https://www.amazon.com/Path-New-Think-About-Everything/dp/0241970423/ref=sr_1_2?crid=WENA4N8UN3G6&keywords=The+Path_Christine+Gross-Loh&qid=1682546655&s=instant-video&sprefix=the+path_christine+gross-loh%2Cinstant-video%2C498&sr=1-2,Professor Michael Puett,Viking,"March 2, 2017",224.0,,2.4,69866
The Professor'S House (Vintage Classics),https://www.amazon.com/Professors-House-Vintage-Classics/dp/0679731806/ref=sr_1_1?keywords=The+Professor%27s+House+by+Willa+Cather&qid=1697043212&sr=8-1,Willa Cather,Vintage; Reissue edition,"October 31, 1990",258.0,,1.1,16758
Words In Deep Blue,https://www.amazon.com/Words-Deep-Blue-Cath-Crowley/dp/110193767X/ref=sr_1_1?crid=QX0UNFWJUR3X&keywords=Words+in+Deep+Blue+Cath+Crowley&qid=1666789582&qu=eyJxc2MiOiIxLjQyIiwicXNhIjoiMC4wMCIsInFzcCI6IjAuMDAifQ%3D%3D&sprefix=words+in+deep+blue+cath+crowley%2Caps%2C549&sr=8-1,Cath Crowley,Ember; Reprint edition,"May 29, 2018",288.0,14,1.7,73094
"Lovely, Dark And Deep",https://www.amazon.com/Lovely-Dark-Deep-Amy-McNamara/dp/1442434376/ref=sr_1_1?keywords=Lovely%2C+Dark%2C+and+Deep+by+Amy+McNamara&qid=1696963490&sr=8-1,Amy Mcnamara,Simon & Schuster Books for Young Readers; Reprint edition,"December 3, 2013",352.0,14,1.7,40175
The Real Life Of Sebastian Knight (New Directions Paperbook),https://www.amazon.com/Real-Sebastian-Knight-Directions-Paperbook/dp/0811217507/ref=sr_1_1?keywords=The+Real+Life+of+Sebastian+Knight+by+Vladimir+Nabokov&qid=1697471779&sr=8-1,Vladimir Nabokov,New Directions,"July 17, 2008",224.0,,3.8,60757
"The Clan Of The Cave Bear: Earth'S Children, Book One",https://www.amazon.com/Clan-Cave-Bear-Earths-Children/dp/0553381679/ref=sr_1_1?keywords=The+Clan+of+the+Cave+Bear&qid=1679241867&s=books&sr=1-1,Jean M. Auel,Bantam; Reprint edition,"June 25, 2002",512.0,,1.5,25643
Brain Jack,https://www.amazon.com/Brain-Jack-Brian-Falkner/dp/0375843671/ref=sr_1_1?keywords=Brain+Jack+by+Brian+Falkner&qid=1697013770&sr=8-1,Brian Falkner,Ember; Reprint edition,"August 9, 2011",349.0,12,2.2,45255
Prayers For The Stolen,https://www.amazon.com/Prayers-Stolen-Jennifer-Clement/dp/080413880X/ref=sr_1_1?keywords=Prayers+for+the+Stolen+by+Jennifer+Clement&qid=1697035655&sr=8-1,Jennifer Clement,Random House Publishing Group,"November 4, 2014",240.0,,1.3,49432
The Best Of Me,https://www.amazon.com/Best-Me-Nicholas-Sparks/dp/1538764725/ref=sr_1_1?keywords=The+Best+of+Me+by+Nicholas+Sparks&qid=1696963557&sr=8-1,Nicholas Sparks,Grand Central Publishing; Reissue edition,"December 15, 2020",336.0,,2.9,51660
Tennessee'S Partner,https://www.amazon.com/Tennessees-partner-Bret-Harte/dp/B012ZDC24Q/ref=sr_1_1?keywords=Tennessee%27s+Partner+by+Bret+Harte&qid=1697061252&sr=8-1,Bret Harte,Leopold Classic Library,"July 30, 2015",66.0,,3.2,94932
[(The Technological Society)] [By: Jacques Ellul],https://www.amazon.com/Technological-Society-Jacques-Ellul/dp/0394703901/ref=sr_1_1?keywords=The+Technological+Society+Jacques+Ellul&qid=1669390218&sr=8-1,Jacques Ellul,,,0.0,,2.1,6787
Soldier'S Heart: Novel-Ties Study Guide,https://www.amazon.com/Soldiers-Heart-Novel-Ties-Study-Guide/dp/076753543X/ref=sr_1_1?keywords=Soldier%27s+Heart+by+Gary+Paulsen&qid=1697005241&sr=8-1,Gary Paulsen,Learning Links; Teachers Guide edition,"December 31, 2005",26.0,10,1.6,55986
A Good Scent From A Strange Mountain: Stories,https://www.amazon.com/Good-Scent-Strange-Mountain-Stories/dp/0802137989/ref=sr_1_1?keywords=A+Good+Scent+From+A+Strange+Mountain+by+Robert+Olen+Butler&qid=1696999052&sr=8-1,Robert Olen Butler,Grove Press; Reprint edition,"May 10, 2001",269.0,,4.2,65290
"The Lost Gate (Mither Mages, 1)",https://www.amazon.com/Lost-Gate-Mither-Mages/dp/0765365383/ref=sr_1_1?keywords=The+Lost+Gate+by+Orson+Scott+Card&qid=1697019653&sr=8-1,Orson Scott Card,Tor Books,"November 29, 2011",384.0,,4.5,72765
The Diligent: A Voyage Through The Worlds Of The Slave Trade,https://www.amazon.com/Diligent-Voyage-Through-Worlds-Slave/dp/0465028721/ref=sr_1_1?keywords=The+Diligent+by+Robert+W.+Harms&qid=1697056001&sr=8-1,Robert Harms,Basic Books; Reprint edition,"December 21, 2002",496.0,,3.7,55283
Paula Pb,https://www.amazon.com/PAULA-PB-Isabel-Allende/dp/0007205252/ref=sr_1_3?keywords=Paula+by+Isabel+Allende&qid=1697007089&sr=8-3,Isabel Allende,Harper Perennial,"Import, April 1, 2008",384.0,,2.2,5345
