title,title_link,author,publisher,publication_date,#pages,reading_age,average_rating,sales_rank
"Thank You For Arguing, Fourth Edition (Revised And Updated): What Aristotle, Lincoln, And Homer Simpson Can Teach Us About The Art Of Persuasion",https://www.amazon.com/Thank-Arguing-Fourth-Revised-Updated/dp/0593237382/ref=sr_1_1?keywords=Thank+You+For+Arguing+by+Jay+Heinrichs&qid=1697004266&sr=8-1,Jay Heinrichs,Crown; 4th edition,"April 21, 2020",480.0,,3.1,73397
The New Science Of Learning [Op]: How To Learn In Harmony With Your Brain,https://www.amazon.com/New-Science-Learning-Learn-Harmony-ebook/dp/B07MKPNV39/ref=sr_1_2?crid=1OPZIYH0S5U04&keywords=The+New+Science+of+Learning_Todd+Zakrajsek&qid=1681951485&sprefix=the+new+science+of+learning_todd+z%2Caps%2C614&sr=8-2,"Terry Doyle, Todd D. Zakrajsek",Stylus Publishing; 1st edition,"August 16, 2013",136.0,,4.8,19057
She'S Not There: A Life In Two Genders,https://www.amazon.com/Shes-Not-There-Life-Genders/dp/B01BODSKIA/ref=sr_1_8?keywords=She%27s+Not+There+by+Jennifer+Finney+Boylan&qid=1697039346&sr=8-8,Jennifer Finney Boylan,Broadway Books; First Paperback Edition,"January 1, 2004",0.0,,3.9,3832
How To Be Black,https://www.amazon.com/How-Be-Black-Baratunde-Thurston/dp/0062003224/ref=sr_1_1?keywords=How+to+Be+Black+by+Baratunde+Thurston&qid=1697007945&sr=8-1,Baratunde Thurston,Harper Paperbacks; First Paperback Edition,"October 30, 2012",272.0,,1.4,56933
"A Dance To The Music Of Time: Winter, Vol. 4",https://www.amazon.com/Dance-Music-Time-Vol-Winter/dp/B000MORZLG/ref=sr_1_14?keywords=A+Dance+to+the+Music+of+Time+by+Anthony+Powell&qid=1697025790&sr=8-14,Anthony Powell,ARROW,"Import, January 1, 1997",816.0,,2.4,6399
"God'S Hotel: A Doctor, A Hospital, And A Pilgrimage To The Heart Of Medicine",https://www.amazon.com/Gods-Hotel-Hospital-Pilgrimage-Medicine/dp/1594486549/ref=sr_1_1?keywords=God%27s+Hotel+by+Victoria+Sweet&qid=1697054138&sr=8-1,Victoria Sweet,Riverhead Books; Reprint edition,"April 2, 2013",432.0,,2.3,57809
"13 Little Blue Envelopes (13 Little Blue Envelopes, 1)",https://www.amazon.com/Little-Blue-Envelopes-Maureen-Johnson/dp/0062439103/ref=sr_1_1?keywords=13+Little+Blue+Envelopes+by+Maureen+Johnson&qid=1697001302&sr=8-1,Maureen Johnson,HarperTeen; Reprint edition,"May 3, 2016",352.0,13,3.3,65573
The Loaded Dog,https://www.amazon.com/Loaded-Dog-Henry-Lawson/dp/1502339064/ref=sr_1_1?keywords=The+Loaded+Dog+by+Henry+Lawson&qid=1697060238&sr=8-1,Henry Lawson,CreateSpace Independent Publishing Platform,"September 10, 2014",26.0,,2.1,86528
Gray Mountain: A Novel,https://www.amazon.com/Gray-Mountain-Novel-John-Grisham/dp/0345543254/ref=sr_1_1?keywords=Gray+Mountain&qid=1678629277&s=books&sr=1-1,John Grisham,Vintage; 2014th edition,"August 18, 2015",480.0,,3.2,9864
"Walk On Earth A Stranger (Gold Seer Trilogy, 1)",https://www.amazon.com/Walk-Earth-Stranger-Gold-Trilogy/dp/006224292X/ref=sr_1_1?keywords=Walk+On+Earth+A+Stranger+by+Rae+Carson&qid=1696976948&sr=8-1,Rae Carson,Greenwillow Books; Reprint edition,"September 6, 2016",464.0,13,2.8,90126
