title,title_link,author,publisher,publication_date,#pages,isbn-10,isbn-13,reading_age
Point Omega,https://www.amazon.com/Point-Omega-Novel-Don-DeLillo/dp/1439169969/ref=sr_1_1?keywords=Point+Omega+by+Don+DeLillo&qid=1697470407&sr=8-1,Don Delillo,Scribner; Reprint edition,"December 14, 2010",128.0,1439169969,978-1439169964,
The Victorian Internet: The Remarkable Story Of The Telegraph And The Nineteenth Century'S On-Line Pioneers,https://www.amazon.com/Victorian-Internet-Remarkable-Nineteenth-line/dp/162040592X/ref=sr_1_1?keywords=The+Victorian+Internet+by+Tom+Standage&qid=1697470472&sr=8-1,Tom Standage,"Bloomsbury USA; Second Edition, Revised","February 25, 2014",256.0,162040592X,978-1620405925,
Narrative Of The Life Of Frederick Douglass - The Classic Autobiography,https://www.amazon.com/Narrative-Life-Frederick-Douglass-Autobiography/dp/1091420602/ref=sr_1_6?keywords=Narrative+of+the+Life+of+Frederick+Douglass+by+Frederick+Douglass&qid=1697470518&sr=8-6,Frederick Douglass,Independently published,"March 24, 2019",111.0,1091420602,978-1091420601,
The Inhabited Woman (The Americas),https://www.amazon.com/Inhabited-Woman-AMERICAS-Gioconda-Belli/dp/029920684X/ref=sr_1_1?keywords=The+Inhabited+Woman+by+Gioconda+Belli&qid=1697470618&sr=8-1,"Gioconda Belli, Kathleen March",University of Wisconsin Press,"December 8, 2004",414.0,029920684X,978-0299206840,
Highwire Moon,https://www.amazon.com/Highwire-Moon-Susan-Straight/dp/1640093591/ref=sr_1_1?keywords=Highwire+Moon+by+Susan+Straight&qid=1697470659&sr=8-1,Susan Straight,Counterpoint; Reissue edition,"October 22, 2019",370.0,1640093591,978-1640093591,
Bhagavad Gita: The Song Of God,https://www.amazon.com/Bhagavad-Gita-Song-Swami-Prabhavananda/dp/0874810434/ref=sr_1_1?crid=2XRL6SG4DZOX7&keywords=Bhagavad+Gita_Isherwood%2C+Swami+Prabhavananda&qid=1682716928&s=instant-video&sprefix=bhagavad+gita_isherwood%2C+swami+prab%2Cinstant-video%2C600&sr=1-1,"Swami Prabhavananda, Christopher Isherwood",Vedanta Press & Bookshop; 4th edition,"July 1, 1945",179.0,9780874810431,978-0874810431,
One Hundred Years Of Solitude: Awarded The Premio Romulo Gallegos 1972 (Penguin Modern Classics),https://www.amazon.com/Hundred-Solitude-Gabriel-Garcia-Marquez/dp/038001503X/ref=sr_1_5?keywords=One+Hundred+Years+of+Solitude+by+Gabriel+Garc%C3%ADa+M%C3%A1rquez&qid=1697470721&sr=8-5,Gabriel Garcia Marquez,Penguin Classics; New ed. edition,"August 31, 2000",432.0,014118499X,978-0141184999,
Breathing Underwater,https://www.amazon.com/Breathing-Underwater-Alex-Flinn/dp/0064472574/ref=sr_1_1?keywords=Breathing+Underwater+by+Alex+Flinn&qid=1697470803&sr=8-1,Alex Flinn,HarperTeen; Revised edition,"May 7, 2019",272.0,0064472574,978-0064472579,14
Beyond Katrina: A Meditation On The Mississippi Gulf Coast,https://www.amazon.com/Beyond-Katrina-Meditation-Mississippi-Coast-ebook/dp/B005F6A6IK/ref=sr_1_1?crid=2TR3WEV9D2BO1&keywords=beyond+katrina+trethewey&qid=1682008895&sprefix=beyond+katrina_trethewey%2Caps%2C428&sr=8-1,Natasha Trethewey,University of Georgia Press; 2nd edition,"August 1, 2015",144.0,082034902X,978-0820349022,
When Smoke Ran Like Water: Tales Of Environmental Deception And The Battle Against Pollution,https://www.amazon.com/When-Smoke-Like-Water-Environmental/dp/0465015220/ref=sr_1_1?keywords=When+Smoke+Ran+Like+Water+by+Devra+Davis&qid=1697470874&sr=8-1,Devra Davis,Basic Books; Reprint edition,"December 25, 2003",353.0,0465015220,978-0465015221,
On Dragonwings (Dragonsdawn / Dragonseye / Moreta) (Pern),https://www.amazon.com/Dragonwings-Pern-Dragons-Anne-McCaffrey-ebook/dp/B0067AN1YO/ref=sr_1_2?crid=8KL9HF2LKTJ5&keywords=Dragonsdawn+Anne+McCaffrey&qid=1666708972&qu=eyJxc2MiOiIwLjAwIiwicXNhIjoiMC4wMCIsInFzcCI6IjAuMDAifQ%3D%3D&sprefix=dragonsdawn+anne+mccaffrey%2Caps%2C502&sr=8-2,Anne Mccaffrey,Del Rey; 1st edition,"September 30, 2003",912.0,0345465652,978-0345465658,
"Finding Zoe: A Deaf Woman'S Story Of Identity, Love, And Adoption",https://www.amazon.com/Finding-Zoe-Womans-Identity-Adoption/dp/195066578X/ref=sr_1_1?keywords=Finding+Zoe+by+Brandi+Rarus&qid=1697470980&sr=8-1,"Brandi Rarus, Gail Harris",BenBella Books,"September 1, 2020",288.0,195066578X,978-1950665785,
Between The World And Me,https://www.amazon.com/Between-World-Ta-Nehisi-Coates-author/dp/0525510303/ref=sr_1_1?keywords=Between+the+World+and+Me+by+Ta-Nehisi+Coates&qid=1697471003&sr=8-1,Ta-Nehisi Coates,Random House LCC US,"September 5, 2017",176.0,0525510303,978-0525510307,
How To Win Friends And Influence People In The Digital Age (Dale Carnegie Books),https://www.amazon.com/How-Friends-Influence-People-Digital/dp/1451612591/ref=sr_1_10?keywords=How+to+Win+Friends+and+Influence+People+by+Dale+Carnegie&qid=1697471081&sr=8-10,Dale Carnegie,Simon & Schuster; Reprint edition,"December 25, 2012",272.0,9781451612592,978-1451612592,
The Long Shadow Of Little Rock: A Memoir,https://www.amazon.com/Long-Shadow-Little-Rock-Memoir/dp/1557288631/ref=sr_1_1?keywords=The+Long+Shadow+of+Little+Rock+by+Daisy+Bates&qid=1697471174&sr=8-1,"Daisy Bates, Clayborne Carson",University of Arkansas Press; Second printing December 1962 edition,"Illustrated, February 1, 2007",260.0,1557288631,978-1557288639,
The Drunkard'S Walk: How Randomness Rules Our Lives,https://www.amazon.com/Drunkards-Walk-Randomness-Rules-Lives/dp/0307275175/ref=sr_1_1?keywords=The+Drunkard%27s+Walk+by+Leonard+Mlodinow&qid=1697471206&sr=8-1,Leonard Mlodinow,Vintage; Reprint edition,"Illustrated, May 5, 2009",252.0,0307275175,978-0307275172,
One Flew Over The Cuckoo'S Nest: (Penguin Classics Deluxe Edition),https://www.amazon.com/One-Flew-Over-Cuckoos-Nest/dp/0451163966/ref=sr_1_1?crid=1I3V0B16PZGOK&keywords=One+Flew+Over+the+Cuckoo%27s+Nest+Ken+Kesey&qid=1666824911&qu=eyJxc2MiOiIxLjg0IiwicXNhIjoiMS4zMiIsInFzcCI6IjEuMDUifQ%3D%3D&sprefix=one+flew+over+the+cuckoo%27s+nest%2Caps%2C586&sr=8-1,"Ken Kesey, Joe Sacco, Robert Faggen",Penguin Classics; Deluxe ed. edition,"November 27, 2007",320.0,0143105027,978-0143105022,
